Start,End,Size;
0x1CE937,0x1CE951,0x1A,
0x1CF03A,0x1CF03F,0x5,
0x1CF03F,0x1CF0B1,0x72,
0x1CF0B1,0x1CF0C1,0x10,
0x1CF0C1,0x1CF0D6,0x15,
0x1CF1C7,0x1CF227,0x60,
0x1CF227,0x1CF259,0x32,
0x1CF43B,0x1CF499,0x5E,
0x1CF499,0x1CF4BF,0x26,
0x1CF847,0x1CF8BC,0x75,
0x1CF8BC,0x1CF8D9,0x1D,
0x1CFA69,0x1CFAFE,0x95,
0x1CFAFE,0x1CFB3E,0x40,
0x1CFB3E,0x1CFBDD,0x9F,
0x1CFBDD,0x1CFC56,0x79,
0x1CFC56,0x1CFC74,0x1E,
0x1CFC74,0x1CFCCD,0x59,
0x1CFD07,0x1CFD70,0x69,
0x1CFDB7,0x1CFE74,0xBD,
0x1CFE74,0x1CFF45,0xD1,
0x1D0499,0x1D052E,0x95,
0x1D052E,0x1D056E,0x40,
0x1D056E,0x1D060D,0x9F,
0x1D060D,0x1D0686,0x79,
0x1D0686,0x1D06A4,0x1E,
0x1D06A4,0x1D06FD,0x59,
0x1D10C9,0x1D1140,0x77,
0x1D1286,0x1D1302,0x7C,
0x1D1302,0x1D138F,0x8D,
0x1D13BA,0x1D13FF,0x45,
0x1D13FF,0x1D140D,0xE,
0x1D155B,0x1D15DB,0x80,
0x1D15DB,0x1D15F1,0x16,
0x1D16B3,0x1D16C9,0x16,
0x1D1CD7,0x1D1D94,0xBD,
0x1D1D94,0x1D1E65,0xD1,
0x1D21CE,0x1D236A,0x19C,
0x1D236A,0x1D2376,0xC,
0x1D2376,0x1D237F,0x9,
0x1D2794,0x1D28E5,0x151,
0x1D28E5,0x1D29D9,0xF4,
0x1D29D9,0x1D2C70,0x297,
0x1D2E79,0x1D2E81,0x8,
0x1D2E81,0x1D2E91,0x10,
0x1D2E91,0x1D2EAA,0x19,
0x1D2EFA,0x1D2F74,0x7A,
0x1D2F74,0x1D3184,0x210,
0x1D3184,0x1D3442,0x2BE,
0x1D3442,0x1D3862,0x420,
0x1D3AB6,0x1D3AD8,0x22,
0x1D3B25,0x1D3B3F,0x1A,
0x1D3B3F,0x1D3B55,0x16,
0x1D3E37,0x1D3E79,0x42,
0x1D3ECC,0x1D3F8C,0xC0,
0x1D3F8C,0x1D4016,0x8A,
0x1D4016,0x1D4038,0x22,
0x1D4076,0x1D4093,0x1D,
0x1D4093,0x1D40AC,0x19,
0x1D40AC,0x1D40EF,0x43,
0x1D40EF,0x1D419A,0xAB,
0x1D419A,0x1D4216,0x7C,
0x1D4216,0x1D4220,0xA,
0x1D422E,0x1D4286,0x58,
0x1D42E6,0x1D43C3,0xDD,
0x1D43C3,0x1D43D2,0xF,
0x1D43E6,0x1D4403,0x1D,
0x1D4403,0x1D441C,0x19,
0x1D441C,0x1D445F,0x43,
0x1D445F,0x1D450A,0xAB,
0x1D450A,0x1D4586,0x7C,
0x1D4586,0x1D4590,0xA,
0x1D459E,0x1D4645,0xA7,
0x1D4EE2,0x1D4F6B,0x89,
0x1D4F6B,0x1D4FED,0x82,
0x1D597F,0x1D59B7,0x38,
0x1D59B7,0x1D59C0,0x9,
0x1D5D04,0x1D5D6F,0x6B,
0x1D5D6F,0x1D5DAA,0x3B,
0x1D5EF7,0x1D5F3F,0x48,
0x1D5F3F,0x1D5F40,0x1,
0x1D6245,0x1D6310,0xCB,
0x1D64FB,0x1D6556,0x5B,
0x1D6556,0x1D658A,0x34,
0x1D6623,0x1D6662,0x3F,
0x1D6662,0x1D6817,0x1B5,
0x1D6817,0x1D6887,0x70,
0x1D6887,0x1D6891,0xA,
0x1D6891,0x1D689A,0x9,
0x1D7253,0x1D7338,0xE5,
0x1D87BE,0x1D880F,0x51,
0x1D880F,0x1D8827,0x18,
0x1D89E4,0x1D8A32,0x4E,
0x1D8A32,0x1D8A33,0x1,
0x1D8EC3,0x1D8EFF,0x3C,
0x1D8EFF,0x1D916C,0x26D,
0x1D916C,0x1D91DA,0x6E,
0x1D91DA,0x1D91E7,0xD,
0x1D91E7,0x1D91F0,0x9,
0x1D92C5,0x1D92D3,0xE,
